Change Component DesignItemId : Designator=C16 Old DesignItemId=CAP,Cer,100nF,10%,25VDC,X7R,0402 New DesignItemId=CAP,Cer,100nF,10%,25V,X7R,0402
Change Component DesignItemId : Designator=C26 Old DesignItemId=CAP,Cer,100nF,10%,25VDC,X7R,0402 New DesignItemId=CAP,Cer,100nF,10%,25V,X7R,0402
Change Component Footprint: Designator=C26 Old Footprint=CAPC3216X16N New Footprint=CAPC1005X06N
Change Component Footprint: Designator=C16 Old Footprint=CAPC_0805 New Footprint=CAPC1005X06N
Change Component Comment : Designator=C16 Old Comment=100n,25V,10%,X7R,0402 New Comment=100n,10%,25V,X7R,0402
Change Component Comment : Designator=C26 Old Comment=100n,25V,10%,X7R,0402 New Comment=100n,10%,25V,X7R,0402
Change component parameters: Designator = "C16" ("C16"); Footprint = "CAPC_0805"; UniqueID = "\IBRXSSUG\BMZZWICD" ("\IBRXSSUG\BMZZWICD")
Change component parameters (AddParameter): Name = "CreatedBy"; Value = "Judd Foster"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "HelpURL"; Value = "https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM155R71E104KE14-01.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer 1"; Value = "Murata Electronics"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer 1 Part Number"; Value = "GRM155R71E104KE14J"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Name"; Value = "CAP,Cer,100nF,10%,25V,X7R,0402"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "100nF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Vendor 1"; Value = "DigiKey"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Vendor 1 Part Number"; Value = "490-14603-1-ND"; VariantName = "[No Variations]"
Change component parameters: Designator = "C26" ("C26"); Footprint = "CAPC3216X16N"; UniqueID = "\XGQYAQFD\UBGSERCI" ("\XGQYAQFD\UBGSERCI")
Change component parameters (AddParameter): Name = "CreatedBy"; Value = "Judd Foster"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "HelpURL"; Value = "https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM155R71E104KE14-01.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer 1"; Value = "Murata Electronics"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer 1 Part Number"; Value = "GRM155R71E104KE14J"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Name"; Value = "CAP,Cer,100nF,10%,25V,X7R,0402"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "100nF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Vendor 1"; Value = "DigiKey"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Vendor 1 Part Number"; Value = "490-14603-1-ND"; VariantName = "[No Variations]"
Added Member To Class: ClassName=CSA Member=Component C16 100n,10%,25V,X7R,0402
